store_id,uptime_last_hour(in minutes),uptime_last_day(in hours),update_last_week(in hours),downtime_last_hour(in minutes),downtime_last_day(in hours),downtime_last_week(in hours)
2691459689526788096,54,0,0,6,13,66
793164766724161539,59,6,36,1,5,44
2810410644687880204,57,20,83,3,3,55
2979399194637860877,11,1,3,49,0,3
1256914181983141904,10,7,32,50,6,45
553149046217768978,48,0,9,12,23,129
3222575847313342482,58,0,0,2,23,138
5596533644132483096,5,6,29,55,6,43
3952430842915749914,57,23,106,3,0,32
8386127488995557401,8,0,0,52,0,0
7331476672292782107,58,4,34,2,3,24
3666676318593941536,57,0,0,3,10,60
1450360021688844325,10,19,83,50,4,55
3655527061478834213,10,0,0,50,23,138
1325268203883560998,53,0,0,7,4,61
8104581577381117993,10,13,55,50,6,59
38331274599366702,3,8,34,57,6,52
8696660804157243435,33,0,18,27,15,72
438929057420935215,7,6,27,53,6,47
3160990068346781748,10,0,0,50,0,0
1000385412041408565,6,0,3,54,3,15
1505046286008156215,54,0,2,6,12,74
7090944581492310071,8,19,82,52,4,56
8683595242752311353,7,4,30,53,7,62
1253356761818562621,11,7,32,49,6,48
195360898806120509,11,0,0,49,0,0
3175406115748970560,9,0,7,51,13,59
1476406671101886529,7,15,62,53,0,28
8832246635563778113,12,1,10,48,0,9
3762462515785465924,11,23,106,49,0,32
2589996575633997892,9,19,81,51,4,57
752242078435672140,29,12,50,31,5,52
4910683290403700812,8,7,28,52,5,47
3297850817155956815,5,6,29,55,6,43
7091362345687318611,7,7,32,53,6,46
1817418090065887322,7,9,36,53,6,45
369417709220692060,54,0,0,6,11,68
4702367185471307868,10,23,106,50,0,32
1585657235768639585,11,3,19,49,6,35
2044382177513504874,10,12,47,50,5,52
2046507257744621680,6,0,3,54,3,19
8054766691200204910,58,18,81,2,5,57
3116980441617596531,47,0,0,13,23,138
4019015599526412406,9,5,27,51,4,16
7494741768470986869,11,6,28,49,7,50
2722198466791342198,12,18,77,48,5,61
6620071803741044856,37,0,15,23,10,45
4490551457763033210,6,11,49,54,6,53
7146859192891703417,12,3,15,48,0,3
3639357247132139641,51,0,2,9,6,57
3663017609970385017,54,0,0,6,13,78
5643892817541922941,1,19,83,59,4,55
1298580698756743295,50,3,15,10,0,3
6682001952313507975,1,7,25,59,6,30
7003649883691974790,58,0,0,2,8,80
8089520875431100552,6,5,23,54,6,43
9052353654565994634,57,20,84,3,3,54
6618798956345131149,8,19,82,52,0,32
3807312435986890896,1,0,0,59,23,138
6343940791149527184,10,1,5,50,0,1
3439449950372167830,8,19,81,52,4,57
7555752115160416405,6,4,31,54,7,61
8537357353468428438,12,7,28,48,0,14
7077685785414500502,3,6,27,57,6,46
3924051146992189595,5,4,23,55,7,45
2475650598922944667,1,23,106,59,0,32
6459105998082179230,10,0,1,50,13,50
7381287883989188770,10,5,20,50,1,16
1898198222319616166,4,6,31,56,7,47
1966199464131461288,2,0,3,58,11,66
8345736932152836262,11,23,106,49,0,32
8749770865952948393,8,19,82,52,4,56
90748735992987823,8,0,4,52,2,8
4870843311978545325,5,0,4,55,16,92
5668663208996864175,34,5,26,26,6,42
6041911531637866670,56,0,0,4,23,138
7629733927616020663,52,6,28,8,0,25
3573155843757408442,43,6,26,17,6,46
6344665997186662591,9,5,27,51,6,26
6145374363035992256,2,7,25,58,6,29
4131954362597736646,7,1,5,53,0,1
7330718027186438340,12,3,30,48,4,30
8824851369659007175,45,8,26,15,6,32
3925478585414123722,6,5,27,54,6,39
6969870054014255314,9,5,22,51,6,44
8294328856898142418,11,2,8,49,0,4
3349374025529884886,8,5,31,52,8,47
9117779094872096979,12,7,18,48,6,24
6405099336794210520,50,0,0,10,23,138
8303972580507844826,49,0,0,11,23,138
8633984551266812130,10,8,34,50,5,46
2844028874608509157,8,7,35,52,1,28
718883255688102120,7,0,0,53,0,0
2523206980259152104,9,2,20,51,4,32
5161136066893185258,35,6,26,25,6,48
4811151405488570604,7,4,27,53,8,45
37902066963120367,34,8,27,26,6,31
188983528751923443,10,1,12,50,4,18
5457480735492374770,57,23,106,3,0,32
3071923573338898676,9,6,36,51,6,47
5405685504143655155,48,0,2,12,11,66
1109260002004467961,4,7,21,56,6,24
6435811334254592249,35,0,18,25,13,64
1442679555313959163,8,20,84,52,3,54
5519208874523656443,58,19,82,2,4,56
1380805131866505470,7,7,38,53,7,42
150190987832295679,0,5,32,60,7,51
8701353007547646205,58,2,9,2,0,7
7788784068052975867,48,0,0,12,18,57
6324006545485267200,57,19,82,3,4,56
4735483692336120064,11,9,43,49,6,37
4619198948807278851,57,7,31,3,6,43
6312260978612109571,1,0,0,59,23,138
251178014192795913,9,4,25,51,6,35
8726111341935591690,51,0,0,9,12,72
4545582439998947598,50,0,0,10,11,68
5578288353274200337,52,0,25,8,7,49
3098925642733977878,10,0,3,50,10,57
3677644155010056474,50,1,10,10,22,106
3931626460410511643,57,0,0,3,10,60
5474469324330991900,50,1,10,10,22,106
8322632378735264032,6,8,26,54,6,32
7924710911256592678,6,0,2,54,12,71
6449099494722666792,11,23,106,49,0,32
4134847630144995626,9,1,4,51,0,2
4751975018128474410,11,5,27,49,6,42
703853790351098156,40,10,41,20,6,55
8377752272796909866,51,6,28,9,6,45
6393515846583025960,36,14,60,24,0,26
1644901640452276527,57,0,0,3,11,78
3366828461784334643,59,19,82,1,4,56
5083128265109045554,57,0,0,3,23,138
8040588629006418233,58,19,82,2,4,56
712001233480515910,7,19,81,53,4,57
6821485434927219013,12,19,82,48,4,56
3543213486418919755,10,2,16,50,5,37
3200040790050275663,0,0,2,60,12,70
1054127900102066513,51,14,73,9,9,65
2810290175073288531,5,19,82,55,0,32
7481642173604987217,11,9,43,49,3,26
3078545593976422744,11,11,48,49,6,39
2041540173433176415,9,1,4,51,0,2
1091310099317588321,6,8,26,54,7,16
6920052832304726372,6,0,2,54,9,52
5940506369847263591,10,0,0,50,23,138
3724608275871891817,12,20,83,48,3,55
2534047405299663210,6,4,22,54,6,38
4609967034899071339,6,0,2,54,7,58
556794545452417388,53,0,0,7,2,12
5268477684210860397,3,6,29,57,7,49
8409356622424605039,10,5,5,50,18,133
8596104727907893615,50,0,0,10,19,114
1860423567555297653,58,5,25,2,7,49
8491639058823053685,7,6,31,53,7,50
728247202950939003,1,0,0,59,1,6
3199288788810367360,10,5,22,50,6,27
1281520463164440962,0,7,44,60,5,39
6189768128772440449,5,5,24,55,6,42
522491145885155717,51,9,26,9,6,55
5613997515443536260,55,3,13,5,3,31
6027445104242295174,4,5,23,56,6,43
7139454989915128202,4,13,54,56,6,60
5075854033173152144,12,1,3,48,0,3
7792588807565640085,47,0,0,13,1,6
299634262919578009,51,0,1,9,7,41
3486304804522557849,55,0,0,5,14,82
5599805648537780635,13,23,106,47,0,32
7771293565212721563,4,5,23,56,2,19
2246132049792893349,10,8,38,50,6,43
1642580366459568561,8,5,25,52,6,42
4275155273974022583,7,0,0,53,0,0
8682660072829649336,59,4,22,1,0,4
3135084636706931135,7,8,34,53,5,46
5104639244082774467,10,0,0,50,0,0
496703628090966470,9,0,3,51,9,59
5976465791287427525,7,0,2,53,12,74
7483806290191385031,55,0,0,5,23,138
4243492327122928077,12,0,0,48,0,0
8087718885159502285,51,0,0,9,0,0
4367245650019910097,6,5,25,54,3,38
1775144209576296915,4,6,40,56,6,43
7087419985360585167,52,0,0,8,8,51
2288330382454620631,58,14,60,2,0,26
4374590582324658648,47,0,0,13,0,0
8290606488749736406,1,20,84,59,3,54
4478278921484009950,47,0,0,13,13,78
2626624656925688287,50,0,0,10,16,96
8798288608190005727,48,0,0,12,17,102
4770366642847187425,55,0,0,5,16,96
11559715717939685,54,0,0,6,13,78
3843732253862953447,59,19,82,1,4,56
7716893232821699046,54,0,0,6,23,138
2297548562973262314,58,16,65,2,7,73
918708781608731115,12,0,0,48,0,0
623221202101338607,12,1,3,48,0,3
5911690976846479860,10,4,19,50,0,5
7361102123552834037,7,3,15,53,0,3
1915818344108261880,1,0,0,59,0,0
3975701361714889208,10,7,23,50,6,33
2871340414765171194,9,20,81,51,3,57
1732632491522195965,8,20,81,52,3,57
2117250477748519422,57,0,0,3,13,78
3705544321541308930,0,0,0,60,3,18
1012919347352044037,8,8,25,52,7,17
8366194103798759948,50,3,13,10,0,5
739483637436482069,9,19,83,51,4,55
3497331608467636756,14,1,4,46,11,66
3449092834072330775,59,12,49,1,5,53
2326355314033164823,11,7,30,49,1,33
9021464605603955225,4,0,0,56,0,0
229756281923043870,7,16,68,53,0,28
1787377969059037727,48,19,37,12,4,101
3805300659070468640,7,6,29,53,6,41
3393753704630223393,3,11,50,57,6,45
6991267735937352223,53,0,0,7,13,78
326856182599942694,1,0,0,59,12,83
8001620187347976743,10,0,6,50,0,36
9081374451713933867,8,14,58,52,0,26
904008599042261551,5,15,59,55,0,21
8603200247485727276,6,4,21,54,6,39
2932611440383525424,9,19,82,51,4,56
4455435667938083375,12,9,38,48,6,52
783406358954312241,57,0,0,3,13,78
3537533008934273588,10,2,52,50,21,86
6505152856942740022,7,20,83,53,3,55
758519570375246396,7,7,30,53,7,54
81559780630790716,47,0,4,13,9,50
7165632378607960635,50,13,54,10,6,60
5798107024271966785,11,0,0,49,0,0
435051855806923332,11,15,59,49,0,21
6422315512493867587,43,15,62,17,0,20
3164104648370225734,2,19,82,58,4,56
5616303561558360649,53,2,8,7,0,4
4972454081638597196,10,1,3,50,0,3
4764286641758372430,51,0,0,9,13,78
6018065859289285202,52,0,0,8,14,84
8262671421700342356,49,0,0,11,23,138
3446370957034062429,58,1,47,2,22,91
4794041852624536159,4,23,81,56,0,57
837699569013981799,9,19,82,51,4,56
8870337670241550948,9,20,84,51,3,54
8750744863323423335,11,6,28,49,6,46
148795032015503980,51,0,0,9,1,7
6337286644149060210,58,19,83,2,4,55
1995940797507699317,59,0,0,1,0,0
3788279605517320820,50,0,0,10,0,0
4275932008405369462,12,12,54,48,7,60
5924423145343943286,58,0,17,2,17,55
8672765986402566776,52,0,0,8,7,42
3789156511694193280,7,19,83,53,4,55
8412559044081517183,6,3,23,54,5,24
8283818049297351299,47,0,0,13,13,78
4071500638080696966,59,3,16,1,0,15
1249893311664358027,2,7,34,58,6,45
6434576784753164937,11,19,83,49,4,55
7738490685705749128,47,0,0,13,11,62
7981654825245770379,9,8,36,51,15,102
561562924423938703,7,4,24,53,6,30
8405939587146089101,36,0,9,24,23,129
6122083003778400912,49,0,9,11,23,129
7973756334934885008,51,0,0,9,13,78
2739250325777580694,51,0,10,9,23,106
7830218091412521629,46,7,33,14,6,47
5956528166768378528,13,19,82,47,4,56
2526220150300279460,0,0,0,60,23,138
1142217956989272744,52,0,0,8,6,44
7509740124230812327,3,0,0,57,0,0
8138064345069257385,1,0,0,59,0,0
1871890123309417137,8,15,62,52,0,20
1389947929028395698,1,0,3,59,6,56
5013261820895363768,2,0,0,58,23,138
508915149479805627,12,19,79,48,4,59
1168158950802293436,5,6,26,55,6,45
4775082116809032380,54,13,54,6,6,60
5148694224669442750,9,0,2,51,23,71
1085824308941718209,54,0,13,6,5,53
1358738116955407053,30,9,45,30,6,54
137489854657495758,3,8,37,57,6,35
6478723424115065548,5,8,54,55,6,48
9191924088090002123,9,5,34,51,6,44
7872450129102144204,47,0,0,13,12,72
2325429371653718737,11,6,30,49,6,45
6003577592509498065,7,10,43,53,6,53
2801161018595246803,6,0,0,54,0,0
315743336432337622,8,19,82,52,4,56
5842001030832718549,12,19,82,48,4,56
7863591736472240852,8,19,79,52,4,59
7022452128920961749,3,0,0,57,23,138
6447334345695462104,6,3,15,54,0,3
7384579014141510360,47,0,0,13,23,138
8190313151562460,55,0,0,5,23,138
6776660075252450013,9,4,22,51,0,4
2536136790371762910,1,8,49,59,6,44
2594115075249930979,28,0,3,32,7,63
3712730232711578342,1,5,46,59,3,32
2222326639959999208,9,5,35,51,6,45
7279335395577594598,10,20,82,50,3,56
4921552949314388712,50,4,11,10,6,56
2659535035040072426,6,6,29,54,7,49
4844678430198268654,51,0,0,9,23,138
1427332776357855986,8,8,18,52,6,38
6923836608548045554,48,0,2,12,6,40
8218228352749699827,12,20,81,48,3,57
6672691392384860916,5,11,45,55,6,57
7705373018137625332,0,0,0,60,5,30
1217505942626861817,9,5,5,51,18,133
4071109024083968761,47,0,0,13,23,138
5770226286133838585,5,3,15,55,1,38
9096751932396962554,48,0,0,12,23,138
1495179965606986494,2,0,0,58,23,138
9149712285921772285,7,15,68,53,0,22
5952909218916532992,59,10,44,1,6,52
592564541849666308,10,5,37,50,6,39
3805850625064764163,12,6,37,48,6,46
6627403247980937988,52,0,2,8,9,52
5245124405201535747,51,0,0,9,6,87
4758122953777087240,21,0,1,39,13,50
3143660658783978251,11,11,49,49,6,53
7105727956101333772,5,0,33,55,4,29
4843159371714888461,47,0,0,13,23,138
3578719441486807824,12,5,23,48,6,43
7033610846661247760,41,4,22,19,0,4
115475171852550934,59,19,83,1,4,55
7633697021858808601,8,2,10,52,0,1
6588419047189873436,11,1,4,49,0,2
9194440305516118811,56,0,0,4,13,78
5984095994339754784,12,9,13,48,6,77
1077279434450600740,2,0,0,58,12,72
8055889684389987107,11,5,28,49,6,40
4743255264227164964,58,0,0,2,13,78
8177295030995911464,9,5,25,51,6,31
7110737882995852087,10,0,0,50,0,0
